307.444, 129.491, 4.327,  4.379 False
307.299, 129.491, 4.352,  4.412 False
307.154, 129.491, 4.376,  4.445 False
307.007, 129.491, 4.398,  4.478 False
306.860, 129.491, 4.420,  4.511 False
306.713, 129.491, 4.442,  4.544 False
306.564, 129.491, 4.465,  4.577 False
306.414, 129.491, 4.490,  4.610 False
306.264, 129.491, 4.517,  4.643 False
306.113, 129.491, 4.545,  4.676 False
305.961, 129.491, 4.575,  4.709 False
305.807, 129.491, 4.605,  4.742 False
305.653, 129.491, 4.636,  4.775 False
305.498, 129.491, 4.667,  4.808 False
305.341, 129.491, 4.698,  4.841 False
305.184, 129.491, 4.729,  4.874 False
305.025, 129.491, 4.759,  4.907 False
304.866, 129.491, 4.789,  4.940 False
304.706, 129.491, 4.819,  4.973 False
304.544, 129.491, 4.847,  5.006 False
304.382, 129.491, 4.876,  5.039 False
304.219, 129.491, 4.903,  5.072 False
304.055, 129.491, 4.930,  5.105 False
303.890, 129.491, 4.956,  5.138 False
303.724, 129.491, 4.982,  5.171 False
303.557, 129.491, 5.008,  5.204 False
303.390, 129.491, 5.035,  5.237 False
303.221, 129.491, 5.061,  5.270 False
303.052, 129.491, 5.088,  5.303 False
302.882, 129.491, 5.115,  5.336 False
302.710, 129.491, 5.143,  5.369 False
302.538, 129.491, 5.169,  5.402 False
302.365, 129.491, 5.192,  5.435 False
302.192, 129.491, 5.206,  5.468 False
302.018, 129.491, 5.204,  5.501 False
301.845, 129.491, 5.197,  5.534 False
301.673, 129.491, 5.193,  5.567 False
301.500, 129.491, 5.194,  5.600 False
301.326, 129.491, 5.200,  5.633 False
301.153, 129.491, 5.211,  5.666 False
300.979, 129.491, 5.228,  5.699 False
300.804, 129.491, 5.249,  5.732 False
300.628, 129.491, 5.275,  5.765 False
300.452, 129.491, 5.306,  5.798 False
300.274, 129.491, 5.341,  5.831 False
300.095, 129.491, 5.380,  5.864 False
299.914, 129.491, 5.423,  5.897 False
299.732, 129.491, 5.467,  5.930 False
